ATP,Location,Tournament,Date,Series,Court,Surface,Round,BestOf,Winner,Loser,WRank,LRank,WPts,LPts,WSets,LSets,OddsW,OddsL
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Nishioka Y.,19.0,75.0,1835.0,701.0,2.0,0.0,1.35,3.18
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Raonic M.,Bedene A.,18.0,67.0,1855.0,780.0,2.0,0.0,1.22,4.26
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mayer L.,131.0,56.0,433.0,895.0,2.0,0.0,1.63,2.28
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Sandgren T.,38.0,61.0,1083.0,814.0,2.0,1.0,1.4,2.95
1,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Uchiyama Y.,Humbert U.,185.0,102.0,275.0,572.0,2.0,0.0,2.69,1.47
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Fritz T.,63.0,49.0,810.0,974.0,2.0,1.0,2.7,1.47
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Struff J.L.,40.0,57.0,1050.0,875.0,2.0,1.0,2.19,1.68
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Duckworth J.,240.0,234.0,200.0,206.0,2.0,0.0,1.34,3.26
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Kyrgios N.,Harrison R.,35.0,62.0,1125.0,810.0,2.0,1.0,1.44,2.8
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Kokkinakis T.,239.0,146.0,200.0,367.0,2.0,0.0,2.27,1.64
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Popyrin A.,31.0,147.0,1298.0,367.0,2.0,0.0,1.2,4.55
1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Bolt A.,72.0,154.0,715.0,352.0,2.0,0.0,1.36,3.14
1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Millman J.,19.0,38.0,1835.0,1083.0,2.0,0.0,1.43,2.82
1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Uchiyama Y.,Edmund K.,185.0,14.0,275.0,2150.0,2.0,0.0,4.26,1.22
1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Kudla D.,9.0,63.0,3590.0,810.0,2.0,0.0,1.16,5.17
1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Kecmanovic M.,18.0,131.0,1855.0,433.0,2.0,0.0,1.21,4.48
1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Kyrgios N.,40.0,35.0,1050.0,1125.0,2.0,1.0,3.11,1.37
1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Murray A.,16.0,240.0,1977.0,200.0,2.0,0.0,1.88,1.93
1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,Thompson J.,31.0,72.0,1298.0,715.0,2.0,0.0,1.38,3.06
1,Brisbane,Brisbane International,1/3/2019,ATP250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Daniel T.,239.0,77.0,200.0,691.0,2.0,0.0,1.27,3.84
1,Brisbane,Brisbane International,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Chardy J.,Uchiyama Y.,40.0,185.0,1050.0,275.0,2.0,1.0,1.61,2.34
1,Brisbane,Brisbane International,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Dimitrov G.,9.0,19.0,3590.0,1835.0,2.0,0.0,1.65,2.26
