Period,Cost,Miles
1,21390,314700
2,21260,316000
3,21530,319700
4,21530,317300
5,21540,329200
6,22820,356100
7,24560,401300
8,25990,424400
9,25090,415900
10,23450,377600
11,20590,323200
12,20270,314100
13,19850,292800
14,19560,306300
15,20040,309600
16,20010,309600
17,20150,315800
18,21320,333800
19,21950,349200
20,24370,401900
21,26230,439400
22,25230,425100
23,22440,384400
24,21530,327600
25,20250,318400
26,20070,303700
27,20180,314200
28,20210,315900
29,20040,313900
30,20930,320300
31,21390,330700
32,22700,358500
33,24640,407300
