make,fueltype,numofdoors,bodystyle,drivewheels,wheelbase,length,width,height,numofcylinders,enginesize,horsepower,citympg,highwaympg,price
alfa-romero,gas,two,convertible,rwd,88.6,168.8,64.1,48.8,four,130,111,21,27,13495
alfa-romero,gas,two,convertible,rwd,88.6,168.8,64.1,48.8,four,130,111,21,27,16500
alfa-romero,gas,two,hatchback,rwd,94.5,171.2,65.5,52.4,six,152,154,19,26,16500
audi,gas,four,sedan,fwd,99.8,176.6,66.2,54.3,four,109,102,24,30,13950
audi,gas,four,sedan,4wd,99.4,176.6,66.4,54.3,five,136,115,18,22,17450
audi,gas,two,sedan,fwd,99.8,177.3,66.3,53.1,five,136,110,19,25,15250
audi,gas,four,sedan,fwd,105.8,192.7,71.4,55.7,five,136,110,19,25,17710
audi,gas,four,wagon,fwd,105.8,192.7,71.4,55.7,five,136,110,19,25,18920
audi,gas,four,sedan,fwd,105.8,192.7,71.4,55.9,five,131,140,17,20,23875
audi,gas,two,hatchback,4wd,99.5,178.2,67.9,52,five,131,160,16,22,21575
bmw,gas,two,sedan,rwd,101.2,176.8,64.8,54.3,four,108,101,23,29,16430
bmw,gas,four,sedan,rwd,101.2,176.8,64.8,54.3,four,108,101,23,29,16925
bmw,gas,two,sedan,rwd,101.2,176.8,64.8,54.3,six,164,121,21,28,20970
bmw,gas,four,sedan,rwd,101.2,176.8,64.8,54.3,six,164,121,21,28,21105
bmw,gas,four,sedan,rwd,103.5,189,66.9,55.7,six,164,121,20,25,24565
bmw,gas,four,sedan,rwd,103.5,189,66.9,55.7,six,209,182,16,22,30760
bmw,gas,two,sedan,rwd,103.5,193.8,67.9,53.7,six,209,182,16,22,41315
bmw,gas,four,sedan,rwd,110,197,70.9,56.3,six,209,182,15,20,36880
chevrolet,gas,two,hatchback,fwd,88.4,141.1,60.3,53.2,three,61,48,47,53,5151
chevrolet,gas,two,hatchback,fwd,94.5,155.9,63.6,52,four,90,70,38,43,6295
chevrolet,gas,four,sedan,fwd,94.5,158.8,63.6,52,four,90,70,38,43,6575
dodge,gas,two,hatchback,fwd,93.7,157.3,63.8,50.8,four,90,68,37,41,5572
