ID,country,points,price,province,tasterName,title,variety,winery
1,Portugal,87,15,Douro,Roger Voss,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,Quinta dos Avidagos
2,US,87,14,Oregon,Paul Gregutt,Rainstorm 2013 Pinot Gris (Willamette Valley),Pinot Gris,Rainstorm
3,US,87,13,Michigan,Alexander Peartree,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,St. Julian
4,US,87,65,Oregon,Paul Gregutt,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks
5,Spain,87,15,Northern Spain,Michael Schachner,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,Tandem
6,Italy,87,16,Sicily & Sardinia,Kerin O Keefe,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo
7,France,87,24,Alsace,Roger Voss,Trimbach 2012 Gewurztraminer (Alsace),Gewurztraminer,Trimbach
8,Germany,87,12,Rheinhessen,Anna Lee C. Iijima,Heinz Eifel 2013 Shine Gewurztraminer (Rheinhessen),Gewurztraminer,Heinz Eifel
9,France,87,27,Alsace,Roger Voss,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam
10,US,87,19,California,Virginie Boone,Kirkland Signature 2011 Mountain Cuvee Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature
11,France,87,30,Alsace,Roger Voss,Leon Beyer 2012 Gewurztraminer (Alsace),Gewurztraminer,Leon Beyer
12,US,87,34,California,Virginie Boone,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Louis M. Martini
14,US,87,12,California,Matt Kettmann,Mirassou 2012 Chardonnay (Central Coast),Chardonnay,Mirassou
15,Germany,87,24,Mosel,Anna Lee C. Iijima,Richard Bocking 2013 Devon Riesling (Mosel),Riesling,Richard Bocking
16,Argentina,87,30,Other,Michael Schachner,Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,Felix Lavaque
17,Argentina,87,13,Mendoza Province,Michael Schachner,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),Malbec,Gaucho Andino
18,Spain,87,28,Northern Spain,Michael Schachner,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza (Ribera del Duero),Tempranillo Blend,Pradorey
19,US,87,32,Virginia,Alexander Peartree,Quievremont 2012 Meritage (Virginia),Meritage,Quievremont
20,US,87,23,Virginia,Alexander Peartree,Quievremont 2012 Vin de Maison Red (Virginia),Red Blend,Quievremont
21,US,87,20,Oregon,Paul Gregutt,Acrobat 2013 Pinot Noir (Oregon),Pinot Noir,Acrobat
22,Italy,87,19,Sicily & Sardinia,Kerin O Keefe,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Baglio di Pianetto
23,US,87,22,California,Matt Kettmann,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,Bianchi
24,Italy,87,35,Sicily & Sardinia,Kerin O Keefe,Canicatti 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,Canicatti
25,US,87,69,California,Virginie Boone,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa
26,Italy,87,13,Sicily & Sardinia,Kerin O Keefe,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Stemmari
27,Italy,87,10,Sicily & Sardinia,Kerin O Keefe,Stemmari 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Stemmari
28,Italy,87,17,Sicily & Sardinia,Kerin O Keefe,Terre di Giurfo 2011 Mascaria Barricato (Cerasuolo di Vittoria),Red Blend,Terre di Giurfo
29,US,86,16,California,Virginie Boone,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,Clarksburg Wine Company
35,US,86,50,Oregon,Paul Gregutt,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,Erath
