id,age,gender,region,income,married,children,car,mortgage
ID12101,48,FEMALE,INNER_CITY,17546.0,NO,1,NO,NO
ID12102,40,MALE,TOWN,30085.1,YES,3,YES,YES
ID12103,51,FEMALE,INNER_CITY,16575.4,YES,0,YES,NO
ID12104,23,FEMALE,TOWN,20375.4,YES,3,NO,NO
ID12105,57,FEMALE,RURAL,15944.690365705594,YES,0,NO,NO
ID12106,57,FEMALE,TOWN,37869.6,YES,2,NO,NO
ID12107,22,MALE,RURAL,8877.07,NO,0,NO,NO
ID12108,58,MALE,TOWN,24946.6,YES,0,YES,NO
ID12109,37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO
ID12110,54,MALE,TOWN,24212.1,YES,2,YES,NO
ID12111,66,FEMALE,TOWN,59803.9,YES,0,NO,NO
ID12112,52,FEMALE,INNER_CITY,26658.8,NO,0,YES,YES
ID12113,44,FEMALE,TOWN,15735.8,YES,1,NO,YES
ID12114,66,FEMALE,TOWN,55204.7,YES,1,YES,YES
ID12115,36,MALE,RURAL,19474.6,YES,0,NO,YES
ID12116,38,FEMALE,INNER_CITY,38697.66615567745,YES,0,YES,YES
ID12117,37,FEMALE,TOWN,17729.8,YES,2,NO,YES
ID12118,46,FEMALE,SUBURBAN,41016.0,YES,0,NO,YES
ID12119,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,NO
ID12120,31,MALE,TOWN,22522.8,YES,0,YES,NO
ID12121,61,MALE,INNER_CITY,57880.7,YES,2,NO,NO
ID12122,50,MALE,TOWN,16497.3,YES,2,NO,NO
ID12123,54,MALE,INNER_CITY,25879.9715250365,YES,0,NO,NO
ID12124,27,FEMALE,TOWN,15538.8,NO,0,YES,YES
ID12125,22,MALE,INNER_CITY,12640.3,NO,2,YES,NO
ID12126,56,MALE,INNER_CITY,41034.0,YES,0,YES,YES
ID12127,45,MALE,INNER_CITY,20809.7,YES,0,NO,YES
ID12128,39,FEMALE,TOWN,20114.0,YES,1,NO,NO
ID12129,39,FEMALE,INNER_CITY,29359.1,NO,3,YES,YES
ID12130,61,MALE,RURAL,17145.723365911283,YES,1,NO,NO
ID12131,61,FEMALE,RURAL,22942.9,YES,2,NO,NO
ID12132,20,FEMALE,TOWN,16325.8,YES,2,NO,NO
ID12133,45,MALE,SUBURBAN,23443.2,YES,1,YES,NO
ID12134,33,FEMALE,INNER_CITY,29921.3,NO,3,YES,NO
ID12135,43,MALE,SUBURBAN,3677.072358410478,NO,0,NO,NO
ID12136,27,FEMALE,INNER_CITY,19868.0,YES,2,NO,NO
ID12137,19,MALE,RURAL,10953.0,YES,3,YES,NO
ID12138,36,FEMALE,RURAL,13381.0,NO,0,YES,NO
ID12139,43,FEMALE,TOWN,1187.5538835593836,YES,0,YES,NO
ID12140,66,FEMALE,SUBURBAN,25391.5,NO,2,NO,NO
ID12141,55,MALE,TOWN,26774.2,YES,0,NO,YES
ID12142,47,FEMALE,INNER_CITY,26952.6,YES,0,YES,NO
ID12143,67,MALE,TOWN,55716.5,NO,2,YES,NO
ID12144,32,FEMALE,TOWN,27571.5,YES,0,YES,YES
ID12145,20,MALE,INNER_CITY,13740.0,NO,2,YES,YES
ID12146,64,MALE,INNER_CITY,52670.6,YES,2,NO,YES
ID12147,50,FEMALE,INNER_CITY,13283.9,NO,1,YES,NO
ID12148,29,MALE,INNER_CITY,13106.6,NO,2,NO,YES
ID12149,52,MALE,INNER_CITY,39547.8,NO,2,YES,NO
ID12150,47,FEMALE,RURAL,17867.3,YES,2,YES,NO
ID12151,24,MALE,TOWN,14309.7,NO,2,YES,NO
ID12152,36,MALE,TOWN,23894.8,YES,0,NO,NO
ID12153,43,MALE,TOWN,16259.7,YES,1,NO,NO
ID12154,48,MALE,SUBURBAN,29794.1,NO,1,NO,NO
ID12155,63,MALE,TOWN,56842.5,YES,0,NO,YES
ID12156,52,FEMALE,RURAL,47835.8,NO,3,NO,NO
ID12157,58,FEMALE,INNER_CITY,27361.50703539357,NO,0,NO,NO
ID12158,28,MALE,INNER_CITY,23124.9,YES,0,NO,NO
ID12159,29,FEMALE,INNER_CITY,15143.8,YES,0,NO,NO
ID12160,34,MALE,INNER_CITY,25334.3,NO,1,YES,YES
ID12161,42,FEMALE,INNER_CITY,24763.3,YES,1,NO,YES
ID12162,65,FEMALE,INNER_CITY,36589.0,NO,1,YES,NO
ID12163,47,MALE,INNER_CITY,27022.6,YES,2,NO,NO
ID12164,20,MALE,INNER_CITY,17381.04257285193,YES,0,NO,NO
ID12165,21,MALE,TOWN,5014.21,NO,0,YES,YES
ID12166,42,MALE,INNER_CITY,17390.1,YES,0,NO,NO
ID12167,19,MALE,TOWN,10861.0,NO,2,NO,NO
ID12168,41,FEMALE,TOWN,34892.9,NO,0,NO,YES
ID12169,30,MALE,TOWN,30057.233133397178,NO,2,NO,NO
ID12170,31,FEMALE,RURAL,10441.9,YES,2,NO,NO
ID12171,25,MALE,INNER_CITY,14064.9,YES,3,YES,NO
ID12172,21,MALE,INNER_CITY,8062.73,NO,0,NO,NO
